"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51776649746193","2.51012145748988","2.47702407002188","2.7940288493794","3.59922178988327","4.10155084998509","4.27664212076583","4.4254555808656","4.77745285597158","5.62222497522299","6.18792613636364","6.56552816104954","6.66599207177133","6.67085871487522","4.20625683657843","2.86042805100182","4.20588733587463","1.99173253578295","3.2625435183289","3.43909127301841","3.58501131221719","3.68882231791799","3.73405600722674","3.1296406140963","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","13.2576681201829","13.1844239933426","13.8270223847335","13.8200192115412","13.740324533722","14.3041979203773","13.9933033888919","13.5278662121987","14.0684406740523","14.0366178798932","14.7575491779968","14.5526431142191","13.2387117684605","13.324192346364","14.4054468804315","15.7330103445097","17.3300792288194","16.4708749481163","17.0543559570194","16.5118050415939","14.6245081008532","15.0573603475507","16.1688184055714","16.3478105566807","16.5856068205695","16.722326364189","16.0572419637741","17.7618890426665","16.8607808590809","16.84750068774","16.9137929915908","16.2360190740406","15.9765430608276","15.4929297200897","14.8326609191664","14.6485837527061","14.7015968001847","14.250819751951","14.5486465167778","14.4473715339585","13.6004146286677","12.2695606576622","11.9228258901425","11.2363880334952","11.5533219489259","11.1016942458715","10.5050974037392","10.2777980075492","9.93507344396231","9.76871852095708","9.99541788902787","9.92195955364345","9.76888311819261","10.8154213489398","10.7363942496899","10.3266865871309","10.1527154721737",
"Afghanistan","AFG","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8227521829407","16.9238662341696","17.5540062570161","16.5982122192596","16.3855371972017","17.7473095255876","17.839116299","13.14987660941","12.5225768432907","13.7791892429929","12.4860851363953","11.4998672561905","11.477587555803","11.4200060049012","4.1141966128347","3.53042246146676","6.16017721650239","7.04318108092508","7.67625685837314","9.06074776538489",
"Africa Western and Central","AFW","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","21.643722108885","21.4149325822715","20.9908473135733","17.1124147669166","20.016473264111","17.9760191486168","15.86563611436","16.7635801225424","14.9195641764998","14.9361323879493","15.2321388671387","14.2816245836127","14.0385374732943","15.592297463153","15.4501528150901","14.2730782046593","14.8547686065492","13.8943588098","13.6082500164071","12.5867719848261","12.5406401038164","11.5518946445637","11.6057409607437","10.7926923632886","10.432176480333","9.60498956451327","9.46640943780742","9.37589055680838","9.19935742354923","8.06583790444906","8.67270403672473","8.65862060588583","9.92698739821858","10.3554103339159","10.0759492352385","9.6104496100297","9.85705295953823","10.4639274651858","11.3061136168885","11.9385190223227","13.1272674214234",
"Angola","AGO","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.64628079359054","3.44574999431473","4.37839118384962","6.25937084278895","3.22287577892959","2.89016332100962","3.87310081436431","3.66182566484066","3.99981452887264","4.68193830870652","3.91288354903499","3.61281577438344","3.399491640092","3.46173680669987","5.10942154872725","4.54177403520362","4.16780473313727","4.40328953329052","4.82734265180973","4.76307157240238","5.68514480307257","6.75268074236392","6.58054965735374","6.05946923337998","6.13744540474518","6.90930612367885","5.16885056535303",
"Albania","ALB","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.85795208144539","4.58342890946626","4.72394295929822","4.53252298272745","4.31784580575779","4.09904001959361","4.06654283252579","4.12416007365678","4.17755701844762","4.42584401421105","4.90492532097372","5.29679097861481","4.99779767478874","5.19758098355153","5.45212540687051","5.66189767373199","4.61445771380938","5.05980135594677","5.32578898520395","5.67151941669391","5.68442741798015","6.15814709362878","6.13326197157627","6.25619510166206","6.03804376432294","6.23062137742421",
"Andorra","AND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83085443139985","3.45174669836697","3.43814816998333","3.61578788906996","3.65504788618828","3.47674821321747","3.43504662211946","3.39881638773171","3.57693438403017","3.61231681311535","3.69978980213733","3.66060401500449","3.72383504240788","3.83815615460753","3.67687366253974","3.70608985448457","3.74112485956452","3.74883272584872","3.61028448557391","3.67368951398301","3.73356933178986","",
"Arab World","ARB","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","7.95293797850846","7.48015589857079","7.49473607856737","7.63944837033865","7.40261936077725","6.78549786498308","7.79150625852365","8.37913157299148","9.39456241543609","10.2496835242601","10.5227077855346","10.9859609668548","11.544961882353","12.9493999971375","12.7421570771511","9.71827031150326","11.1564644803227","11.2422667599735","11.1579228613095","11.2629171275254","11.6281460501672","11.6989473010603","11.7925652330055","12.2158705084486","11.8966679194894","12.054281968273","12.555442055903","12.767252176755","13.1807961643377","12.8741872086532","12.4775664488493","11.9685248852084","11.5748204063522","11.2651255860458","11.0893629448985","11.033552208793","11.6594529916775","11.5064330747039","11.2645882565294","11.3743078227601","11.6025295994356","11.535778071767","11.224956215006","11.3962063569057","11.1780069959585","11.6005281815866","12.3139008144557",
"United Arab Emirates","ARE","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","0.910603124517689","1.12309252017748","2.74407202159","3.43216609989027","3.05756754261542","3.72808374268427","6.41237306946875","7.92687202019258","8.76975262678911","9.14469269010992","8.92751717475311","8.27561854470455","8.77449108700372","8.84071248347951","8.16657688315442","7.4938885157824","7.42306391613121","7.58367150146651","7.8437806072478","6.58769274582126","6.77246265719199","6.63729265402844","7.89550062539303","8.63108731478083","8.55748953651097","9.07200029229159","13.3137591852656","13.0634763203571","12.2624610762446","11.5123829171924","10.608039735308","9.65695462798033","9.0255775725641","8.60026538838952","9.19537711686217","7.94958193043188","7.70312626079964","8.08503637670565","7.92574426833549","8.11529453740231","9.1758933520037","9.32746091059342","9.38138082343735","8.92578979482029","8.86735310804829","10.2917800360059","10.3682762188184",
"Argentina","ARG","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","41.184160179361","41.0085848893582","37.8240272440343","36.1962188354532","36.6454303394205","31.5447436578601","35.762858969727","36.358073530149","34.3339746673214","34.0368852105037","38.2151082839456","39.1167603264945","36.5949867337521","34.1276092098082","32.6851576737693","29.4760969898486","28.7652362920743","31.3602562635854","30.6694675312814","29.7084408031154","29.6418473138549","27.4195971594836","27.4966462800495","27.9996758567287","30.9493718883737","26.7897045521809","24.3864490932335","21.8591315586603","18.2399115325496","17.8190917106899","17.2467521148076","17.5357232920479","18.227905749866","17.8379584760908","16.9615250614589","16.4942719439838","16.0932258763829","20.347773913878","22.4867505875749","18.9370136214371","18.340415936715","17.8777938558849","17.0474154518997","16.5383660984547","15.5837772738051","15.8448608064195","15.8506983942663","15.2168009115954","15.0110542553443","14.7727785491821","14.1815854549835","13.4880259708051","12.8351683415363","14.0601434041581","13.5408390702829","14.3671448537429","15.4791658305025",
