"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","110.09166782927","98.1055698263577","97.4851225542208","113.2071798829","111.382214693529","111.607722129915","107.482076469789","117.034721987242","108.712265398518","116.972960473466","107.953502383716","103.480938546354","112.260815460069","93.6091057823662","113.64632208264","115.299553914782","111.397203132159","120.162082886958","114.370268279163","118.475427448725","122.801919350932","138.642439903846","149.954019090681","156.366052303861","157.134831460674","143.321280888146","139.338982252081","146.204466444352","188.78628236246","236.502153410241","256.166827476673","262.285518320751","278.576559001652","264.900493657344","272.48311201511","330.693432445679","345.829350362662","344.317496951219","317.190066073971","235.25223069001","224.336144600172","228.472986843803","231.108998219174","252.374500003632","236.912790424181","224.673647433536","181.069789416847","215.569881080161","152.638541550327","282.413460381488","242.3426600273","267.730011909536","222.465643109321","383.400136903633","285.779660511936","282.482030354661","309.279745116515","283.915454744341","304.721125823742","285.140335376239","",
"Austria","AUT","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","119.231535033659","128.339112282626","142.991109220182","141.518805345881","136.394013801596","72.8126300807004","127.043323116337","109.402802691933","124.319764011799","127.006540018686","124.042145863937","112.397003847","110.975982251945","91.2689123223388","90.3994800693241","108.00261627907","95.9171974522293","98.3263157894737","105.25078369906","100.567901234568","118.346822541966","103.773645445927","126.192042091417","110.849190570861","130.670030272452","128.665568369028","95.9537572254335","110.907811400422","94.2268041237113","101.26878130217","84.4152046783626","101.520912547529","88.2154882154882","88.9679715302491","89.0977443609023","76.0692307692308","90.5020618556701","77.9550632911392","79.4235494880546","95.1194092827004","75.1943487250172","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9756097560976","108","130","487.5","553.333333333333","474","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","53.3908632240633","59.9768547818382","60.7610456493131","45.5910197743519","49.454529224609","53.0228766829976","51.3125040077571","37.317109753188","42.3554722082076","38.1924008841469","37.4511591228684","37.4878842121342","38.8861475914539","37.3175024628499","36.518305105607","37.3720866545566","36.8062787701883","34.9941259573203","32.3658394585547","33.563615903976","32.7832939322301","35.600335852225","37.4896093100582","38.1004566210046","38.680618744313","41.5933528836755","38.5304990757856","38.7488328664799","36.8348623853211","33.9222614840989","29.159802306425","33.1991951710262","34.1126461211477","45.8333333333333","36.8295589988081","40.8854166666667","32.1465968586387","29.4847328244275","27.6363636363636","","","28.1261139896373","30.1507446808511","28.6235603152152","26.4899792021176","24.8354453294714","24.3031639004149","18.3878105590062","23.9212359890942","25.1746400371575","24.6049174174174","25.4733030800425","23.6201585299946","23.2839332583427","22.6487307829818","23.2426211249304","21.5485179474","23.0783888738373","23.064752099702","23.064752099702","",
"Benin","BEN","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18246.5517241379","12769.1358024691","8334.375","7000","7550.33333333333","8102.66666666667","8031.66666666667","14192.3333333333","16744","4822.22222222222","8857.18015665796","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","289.649845520082","83.9134758826454","107.045330420535","128.424657534247","128.848211101866","176.09478452782","192.192192192192","271.20006026668","298.682756079587","178.622659631528","537.386475930544","197.447685134989","140.333847340015","277.705841865267","140.390130086811","164.194723702854","272.046760293648","217.861445967352","202.830681903055","215.445069490404","181.477852178489","172.325434569017","146.155087462616","158.129199556396","125.004219350752","137.269901771322","109.166572573598","106.117339317514","121.800042168764","131.457174638487","125.612806403202","103.469809970071","90.4898752105344","109.306785275307","114.722936907185","121.21452417001","122.266987803063","111.348934550989","123.974219317357","114.771881628821","123.738647227533","129.205441298396","130.44109617226","140.642912079016","164.730200448999","172.070811424231","156.549104708778","207.780972155673","238.081662354463","306.317985452129","415.417160264004","407.839934667211","384.24735621339","469.365656919907","476.949740034662","392.375929871128","460.552036906717","572.967592592593","544.211481929794","554.92391492305","",
"Bulgaria","BGR","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","100.168651692441","92.13956188323","102.009701605662","95.9997835527117","101.857436522996","121.042785160365","136.999801409989","131.669396993722","101.723327220576","85.2716137713041","89.8364352289441","98.970578773702","96.858911966895","72.6342779750582","73.9451381455513","72.721665143005","75.4015039367517","76.2080229084283","85.5323719252145","87.6135163674762","103.320405087243","101.364193946032","97.4448377609612","89.5677449171737","88.1046795333444","89.0239564940135","74.8880205493105","79.572090728045","73.6986423991984","71.5147895383125","59.1514298579988","32.9764731095407","29.5327110884386","30.2510752688172","13.8084632516704","20.9793419042686","24.8327326954144","37.8923766816144","37.2097116843703","30.4339092004821","46.7072074700905","97.7101562060015","107.71595159516","54.9122591225912","45.1395170563434","58.0898915862719","67.7700419714749","75.2591209932369","129.965639810427","81.8653563069885","85.6023781627031","81.1224489795918","128.279186798905","114.932737979278","133.993174403198","151.382008489788","55.6889981208198","67.7115733637345","73.1024289348078","75.97899818252","",
"Bahrain","BHR","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.525518880011181","0.193843564214598","0.140095718577664","0.106458481192335","0.687187349273065","0.764753469825934","0.850225916453538","0.772852748541692","0.694137524998806","0.502009398233353","0.821969348154969","0.457562159287329","0.951244210962881","0.643346019868404","0.691571319603356","0.630254676440849","0.624805788748277","0.6216880787291","0.533467223230129","0.647630335592862","0.560829738858477","0.560829738858477","0.512064658525065","",
"Bahamas, The","BHS","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163.771090047393","258.08241636977","123.180656267933","191.382553474932","209.674978352677","179.257047613308","168.42727882491","252.29308667127","226.147886039909","182.427986448347","185.697601019344","300.298220819319","",
"Belarus","BLR","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0528934341785","30.4096405030531","18.3517417162277","16.0227934193193","23.8555770470664","22.7750992248475","23.0070886705634","18.8503884466899","19.9588426350631","17.3539754304243","16.8577223245954","15.1108929071233","14.8431120748744","16.2913269280524","23.6863573143494","20.0858134754458","21.9454537502411","46.666287387676","24.2374590982759","26.670163005141","25.9106364747008","26.9958445201195","16.5389601470971","14.6844496609647","11.578135404905","10.0005663542892","10.5864003310249","10.2779382394022","11.7091205207625","",
"Belize","BLZ","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.950786422433","19.8025639552948","296.382610192858","",
